state,class_code,description,base_rate
CA,8350,GASOLINE OR OIL DEALERS – WHOLESALE,5.719
CA,8370,AUTOMOBILE OR TRUCK RADIO OR ALARM INSTALLATION OR REPAIR,1.713
CA,8387,AUTO/TRUCK GASOLINE SERVICE STATIONS; AUTO/TRUCK OIL/FLUID SERVICE FACILITIES; AUTO/TRUCK WASHING FACILITIES,3.399
CA,8388,RUBBER TIRE DEALERS,4.060
CA,8389,AUTO OR TRUCK REPAIR FACILITIES,3.344
CA,8390,"AUTO, TRUCK OR VAN CONVERSION OR CUSTOMIZING",3.025
CA,8391,AUTO OR TRUCK DEALERS,2.327
CA,8392,AUTO OR TRUCK STORAGE GARAGES OR PARKING LOTS,4.638
CA,8393,AUTO OR TRUCK BODY REPAIRING AND PAINTING,2.926
CA,8397,AUTO OR TRUCK TRANSMISSION REPAIRING AND REBUILDING,4.972
CA,8400,MOTORCYCLE DEALERS OR REPAIR FACILITIES,2.089
CA,8500,METAL SCRAP DEALERS,6.837
CA,8601,ENGINEERS – CONSULTING; OIL OR GAS GEOLOGISTS/SCOUTS; FOREST ENGINEERS,0.378
CA,8631,RACING STABLES – ALL OTHER EMPLOYEES,10.564
